"","slsl_no","site_ID","visit","TN","TC","CN_ratio","lat","lon","final_Lat","final_Long","tn_30","toc_30","cnratio_30","litter_soil_ratio","ae_ratio"
"14",5568,21,1,0.729,36.08,49.4751,-31.74120599,116.69826,-31.74120599,116.69826,0.05,0.86,17.2008333333333,2.87631994573906,1.88496076860218
"15",5570,22,1,0.421,23.96,56.9531,-31.74715103,116.703459,-31.74715103,116.703459,0.035,0.617666666666667,17.8823,3.18488673157256,2.00380933240102
"16",5572,23,1,0.93,41.105,44.1764,-31.74121303,116.703506,-31.74121303,116.703506,0.0716666666666667,1.181,16.4960666666667,2.6779959667153,1.80586778706929
"17",5574,26,1,0.478,28.118,58.7875,-31.73647701,116.676804,-31.73647701,116.676804,0.0433333333333333,0.691666666666667,17.3441666666667,3.38946812088598,2.08007470212898
"18",5576,27,1,0.958,19.1,19.9295,-31.75173802,116.691457,-31.75173802,116.691457,0.0383333333333333,0.582333333333333,17.0305333333333,1.17022171942159,1.09890688057553
"19",5578,28,1,0.81,33.384,41.2619,-31.73278796,116.674751,-31.73278796,116.674751,0.0243333333333333,0.499,22.2404666666667,1.85526232962738,1.44891595877281
"20",5580,32,1,0.432,26.584,61.52,-31.73999598,116.674589,-31.73999598,116.674589,0.06,1.506,25.5771,2.40527659507919,1.69316395810143
"21",5582,33,1,1.535,31.348,20.4221,-31.73789799,116.670224,-31.73789799,116.670224,0.025,0.498666666666667,22.6131,0.903109259676913,0.940684909473191
"22",5584,35,1,1.479,34.261,23.1581,-31.74867997,116.68997,-31.74867997,116.68997,0.0486666666666667,0.802666666666667,18.9059333333333,1.22491175609773,1.12943926436549
"23",5586,36,1,2.41,31.597,13.1087,-31.755488,116.68367,-31.755488,116.68367,0.0356666666666667,0.605666666666667,18.2569666666667,0.71801084152351,0.819744669181102
"24",5588,38,1,0.943,35.556,37.7031,-31.74955898,116.670265,-31.74955898,116.670265,0.0335,0.6045,19.6492833333333,1.91880280620922,1.4784893719374
"25",5590,39,1,0.715,29.129,40.7604,-31.72934803,116.690968,-31.72934803,116.690968,0.0873333333333333,1.25533333333333,15.1513666666667,2.69021276408509,1.81080621899532
"26",5592,40,1,1.171,17.195,14.6794,-31.73804702,116.689949,-31.73804702,116.689949,0.0356666666666667,0.474,15.0927,0.972615900402181,0.983478384356732
"27",5596,43,1,1.263,23.855,18.8826,-31.74224904,116.68803,-31.74224904,116.68803,0.056,0.813333333333333,15.4566,1.22165288614572,1.12763538424503
"28",5598,44,1,1.54,30.101,19.5471,-31.731111,116.690304,-31.731111,116.690304,0.161,1.86133333333333,11.5596333333333,1.69097924097939,1.37051238860285
"29",5600,45,1,1.029,31.951,31.0486,-31.72760703,116.689905,-31.72760703,116.689905,0.04,0.677,20.1295666666667,1.54243757524173,1.29695395516053
"30",5602,52,1,1.644,41.357,25.1534,-31.73577502,116.686515,-31.73577502,116.686515,0.103333333333333,1.127,11.2314333333333,2.23955387112954,1.62217202728381
"31",5604,53,1,1.684,29.808,17.7051,-31.73817904,116.686656,-31.73817904,116.686656,0.055,0.772333333333333,15.6183333333333,1.13361007363142,1.07814759366116
"32",5606,54,1,1.332,33.485,25.1413,-31.73834701,116.687773,-31.73834701,116.687773,0.063,0.851,14.7148,1.70857232174409,1.37905002347727
"33",5608,57,1,1.1995,35.817,29.8934,-31.73783898,116.693554,-31.73783898,116.693554,0.0723333333333333,1.04833333333333,14.8516,2.01280670096151,1.52153252950134
"34",5610,58,1,1.172,35.826,30.569,-31.73861196,116.691427,-31.73861196,116.691427,0.0686666666666667,1.17066666666667,18.1055,1.68838198337522,1.36924897818867
"35",5612,61,1,0.864,21.66,25.0741,-31.73569196,116.688414,-31.73569196,116.688414,0.04,0.599,16.4429666666667,1.52491338748685,1.28809266247985
"36",5614,62,1,0.702,13.899,19.8073,-31.74224602,116.689547,-31.74224602,116.689547,0.0613333333333333,0.859666666666667,14.2852666666667,1.38655444537262,1.2166401839919
"37",5616,63,1,1.542,21.849,14.1715,-31.74611703,116.680447,-31.74611703,116.680447,0.0313333333333333,0.550333333333333,18.5388333333333,0.76442242859583,0.851138141313492
"38",5618,70,1,1.293,45.814,35.4239,-31.73005496,116.685116,-31.73005496,116.685116,0.0606666666666667,0.986333333333333,17.7528666666667,1.99539041582017,1.51361955234745
"39",5620,72,1,0.831,17.186,20.6719,-31.73956297,116.692175,-31.73956297,116.692175,0.0376666666666667,0.487666666666667,13.8755666666667,1.48980582174422,1.27021664723083
"40",5622,74,1,1.041,40.488,38.8916,-31.73102802,116.682518,-31.73102802,116.682518,0.0606666666666667,1.221,20.5304,1.89434204886412,1.4671517624374
"41",5624,75,1,1.955,32.361,16.5507,-31.72963997,116.679517,-31.72963997,116.679517,0.053,0.818,16.6063166666667,0.996650872810447,0.997989175579983
"42",5626,76,1,1.083,20.244,18.7004,-31.74628199,116.695936,-31.74628199,116.695936,0.0586666666666667,0.916666666666667,16.1492333333333,1.1579744755685,1.09199183725185
"43",5628,77,1,0.928,21.311,22.9761,-31.73140202,116.681712,-31.73140202,116.681712,0.0726666666666667,1.298,23.0097666666667,0.998536853191326,0.999121854843402
"44",5630,80,1,0.9245,30.1225,31.9119,-31.74409297,116.669424,-31.74409297,116.669424,0.038,0.782666666666667,22.4840333333333,1.41931385383109,1.23380653198937
"45",5632,81,1,1.057,38.4,36.333,-31.745909,116.670318,-31.745909,116.670318,0.012,0.250333333333333,21.665,1.67703669513039,1.36372103459029
