"","site","x","y","BD","AWC","pH","clay","Silt","Sand","POM","AGG","MAOM","TOC","Qmax","PAWC","SILO","land_use","cropname"
"1",5542,116.693956,-31.72733101,1.55484984038396,10.01037,5.14474089004369,7.19912281267875,16.2543696475895,76.5465075397318,2.21533853244986,5.83752750830994,31.4823923538497,37.434680760347,86.5544404050663,10010,365930,"Cropping","oat"
"2",5544,116.673447,-31.73345299,1.57711963612785,13.97806,5.18909131051981,4.4800496507313,12.1004057183136,83.4195446309551,1.50169716131749,4.59762906055119,19.2373282931419,20.5881963083317,67.757009902381,13978,365929,"Cropping","narrow-leaf lupin"
"3",5546,116.673868,-31.73424197,1.59612633832436,12.11488,5.12311308539535,4.3338570179105,12.5713524479099,83.0947905341796,1.65146208386642,3.59552359680797,14.944627682931,18.7477638480211,69.5415514669591,12114,365929,"Cropping","narrow-leaf lupin"
"4",5548,116.70109,-31.74358402,1.51116498003942,12.21685,5.37958056551765,10.8569614899195,17.9274879872476,71.2155505228329,5.07647301247788,15.7370419214797,40.8981051062851,66.8341298632092,98.5624266943182,12216,365930,"Cropping","barley"
"5",5550,116.690773,-31.72523201,1.49537665373746,10.54375,6.13658203056113,9.27301459586966,18.2374868443846,72.4894985597457,6.63795439273087,8.37042988620037,55.7260760363144,69.6088928225182,94.152515641272,10543,365930,"Cropping","oat"
"6",5552,116.697829,-31.74187998,1.64023514640453,11.95304,5.796184657772,9.45566244958169,17.0862449517429,73.4580925986754,2.63572810577151,5.77749238834433,45.9266614020123,62.8198194656022,100.434718025364,11953,365930,"Cropping","barley"
"7",5554,116.680498,-31.75366201,1.33291238131466,13.74763,5.27913518415443,5.68804719748305,14.1761272681632,80.1358255343538,2.4239195337334,6.16383282486009,17.7139625307187,28.5278919137026,65.4229239161214,13747,365930,"Cropping","canola"
"8",5556,116.676005,-31.75162302,1.53991417683771,13.77479,4.56476329732159,5.64705641252451,13.4797604426009,80.8731831448745,2.03521168631227,4.35196015061427,15.1067640478375,23.0296203602558,73.4743549865757,13774,365930,"Cropping","oat"
"9",5558,116.669401,-31.73518804,1.6464314569377,13.16663,4.45076982541311,7.43655652837585,14.0583755720866,78.5050678995375,2.04628864441814,2.88033370104482,15.0435688961658,22.1789169945548,85.7667058097409,13166,365929,"Cropping","narrow-leaf lupin"
"10",5560,116.67621,-31.75330804,1.37683327018143,12.20064,4.94890525645222,6.90964910276706,14.3273100602034,78.7630408370295,1.9069853268437,5.92349004129787,23.6581653752025,29.8626520090423,71.0693907430046,12200,365930,"Cropping","canola"
"11",5562,116.695232,-31.73467901,1.73224648580289,10.85006,4.92979454962094,8.04885132071263,16.3210112861109,75.6301373931765,1.8736117031939,5.29334317291505,24.5212794024884,36.3127520350788,99.3032426640061,10850,365930,"Cropping","barley"
"12",5564,116.691863,-31.75146796,1.77675654405326,12.00825,5.10807862267654,6.55376922789773,15.0913730034502,78.354857768652,3.52861940849946,8.48325484765352,22.5017911833806,38.840914239054,93.0450485207357,12008,365930,"Cropping","canola"
"13",5566,116.693199,-31.74574899,1.68604902747648,11.20613,4.64537758001009,8.33722259278367,16.4431231581282,75.2196542490882,3.27589974634231,9.43891162739514,31.8275695121471,43.5241683076409,97.9037944353143,11206,365930,"Cropping","canola"
"14",5568,116.69826,-31.74120599,1.61320793985472,12.39461,4.91696926386614,9.22216699014606,17.1479478344196,73.6298851754343,2.09687236272121,5.11666728803091,28.9567775508161,40.8616721061099,98.2832845108612,12394,365930,"Cropping","barley"
"15",5570,116.703459,-31.74715103,1.50228749745144,13.36795,5.1496708675994,5.70466724091222,14.119490790855,80.1758419682328,3.48959337523974,5.25064227904546,20.3007799186051,27.3840645201319,73.6247921450992,13367,365930,"Cropping","narrow-leaf lupin"
"16",5572,116.703506,-31.74121303,1.54152548754928,12.71045,5.39792241463739,10.172990227638,16.2580140359335,73.5689957364284,2.689742243979,9.06931679239663,33.9221903034075,49.0856861401621,94.0843365207977,12710,365930,"Cropping","annual legume"
"17",5574,116.676804,-31.73647701,1.40613976907191,11.12453,5.25373842418731,5.03361666115472,14.4187445899743,80.547638748871,3.14311541495399,5.02401741620141,17.438721603729,28.3766030045282,67.9426447717007,11124,365930,"Cropping","oat"
"18",5576,116.691457,-31.75173802,1.73147899464055,11.82992,4.88290448634826,7.11995187621394,15.4109488551878,77.4690992685983,3.83045552670599,6.4608322495402,18.3701812920583,38.4357133339958,93.4803358547164,11829,365930,"Cropping","canola"
"19",5578,116.674751,-31.73278796,1.51426970953408,13.0414,5.18227558823188,3.3953912652786,13.6653377985798,82.9392709361416,2.36206567336194,5.61240841357698,15.5790410720094,23.2993525753377,66.4149490507537,13041,365929,"Cropping","narrow-leaf lupin"
