,slsl_no,...1,final_Lat,final_Long,toc_30,POCmac_30,POCmic_30,MAOC_30,BD_30,clay_30,silt_30,sand_30,clay_silt,ph_30,Csat,land_use,TN,soil_type
1,5542,1,-31.72733101,116.693956,0.802535820245784,0.047493086361377,0.125146650964666,0.674928891012724,1.55484984038396,7.19912281267875,16.2543696475895,76.5465075397318,23.4534924602683,5.14474089004369,1.85557983707915,Cropping,0.0885,4
2,5544,2,-31.73345299,116.673447,0.435143406091034,0.031739235817782,0.097173542518717,0.406592031288412,1.57711963612785,4.4800496507313,12.1004057183136,83.4195446309551,16.5804553690449,5.18909131051981,1.43208349259494,Cropping,0.063,2
3,5546,3,-31.73424197,116.673868,0.391526313798417,0.034488959180181,0.075088533835039,0.312102021084791,1.59612633832436,4.3338570179105,12.5713524479099,83.0947905341796,16.9052094658204,5.12311308539535,1.45229839261899,Cropping,0.038,4
4,5548,4,-31.74358402,116.70109,1.47422972223425,0.111977030514684,0.347128255999976,0.902131923526934,1.51116498003942,10.8569614899195,17.9274879872476,71.2155505228329,28.7844494771671,5.37958056551765,2.17409367378156,Cropping,0.112,1
5,5550,5,-31.72523201,116.690773,1.55164681862463,0.147966163488874,0.186584649989459,1.24218594909485,1.49537665373746,9.27301459586966,18.2374868443846,72.4894985597457,27.5105014402543,6.13658203056113,2.09874694793343,Cropping,0.1295,1
6,5552,6,-31.74187998,116.697829,1.2766425513908,0.053564029351709,0.117411872336493,0.933334904300878,1.64023514640453,9.45566244958169,17.0862449517429,73.4580925986754,26.5419074013246,5.796184657772,2.04106340576678,Cropping,0.104,1
7,5554,7,-31.75366201,116.680498,0.713422535334878,0.060617126019508,0.154144486195976,0.442988921078402,1.33291238131466,5.68804719748305,14.1761272681632,80.1358255343538,19.8641744656463,5.27913518415443,1.63608963432876,Cropping,0.078,6
8,5556,8,-31.75162302,116.676005,0.498504412489364,0.044054656138731,0.094203521557096,0.327004458539805,1.53991417683771,5.64705641252451,13.4797604426009,80.8731831448745,19.1268168551254,4.56476329732159,1.59044263833497,Cropping,0.055,6
9,5558,9,-31.73518804,116.669401,0.44903007048158,0.041428764734289,0.058314679887578,0.304569190794947,1.6464314569377,7.43655652837585,14.0583755720866,78.5050678995375,21.4949321004624,4.45076982541311,1.73641616333999,Cropping,0.044,2
10,5560,10,-31.75330804,116.67621,0.722979140025845,0.046168391582432,0.143408553758469,0.572767617972241,1.37683327018143,6.90964910276706,14.3273100602034,78.7630408370295,21.2369591629705,4.94890525645222,1.72060026637889,Cropping,0.115,6
11,5562,11,-31.73467901,116.695232,0.698760296387573,0.036053600888588,0.101858929359421,0.471858933923076,1.73224648580289,8.04885132071263,16.3210112861109,75.6301373931765,24.3698626068235,4.92979454962094,1.91087591513628,Cropping,0.069,3
12,5564,12,-31.75146796,116.691863,0.728685731106552,0.06619964189447,0.159152452560194,0.422151086834664,1.77675654405326,6.55376922789773,15.0913730034502,78.354857768652,21.6451422313479,5.10807862267654,1.74559740766875,Cropping,0.084,3
13,5566,13,-31.74574899,116.693199,0.860476526252695,0.064764817886017,0.186608089357133,0.629233768679978,1.68604902747648,8.33722259278367,16.4431231581282,75.2196542490882,24.7803457509119,4.64537758001009,1.93556638112411,Cropping,0.1105,3
14,5568,14,-31.74120599,116.69826,0.844315046572974,0.043327176675274,0.105724483530038,0.59832703181926,1.61320793985472,9.22216699014606,17.1479478344196,73.6298851754343,26.3701148245657,4.91696926386614,2.03080421485553,Cropping,0.06,5
15,5570,15,-31.74715103,116.703459,0.60760816569371,0.077428441208483,0.116503272242118,0.450441520082861,1.50228749745144,5.70466724091222,14.119490790855,80.1758419682328,19.8241580317672,5.1496708675994,1.63361523166061,Cropping,0.045,5
16,5572,16,-31.74121303,116.703506,1.06140933200308,0.058161915273836,0.196111295069904,0.733519935877221,1.54152548754928,10.172990227638,16.2580140359335,73.5689957364284,26.4310042635715,5.39792241463739,2.03444223013082,Cropping,0.079,1
17,5574,17,-31.73647701,116.676804,0.672683318986075,0.074509317022554,0.119097155837678,0.413394694403648,1.40613976907191,5.03361666115472,14.4187445899743,80.547638748871,19.452361251129,5.25373842418731,1.61061857116676,Cropping,0.076,2
18,5576,18,-31.75173802,116.691457,0.739939929061916,0.07374149573019,0.124379836920506,0.353651056869485,1.73147899464055,7.11995187621394,15.4109488551878,77.4690992685983,22.5309007314017,4.88290448634826,1.79962402362501,Cropping,0.075,2
19,5578,19,-31.73278796,116.674751,0.512884251038445,0.051995705883613,0.123544887198548,0.342938490942121,1.51426970953408,3.3953912652786,13.6653377985798,82.9392709361416,17.0607290638584,5.18227558823188,1.46197973920134,Cropping,0.047,2
20,5580,20,-31.73999598,116.674589,1.03403083349392,0.098740973638174,0.324904795801412,0.804141918722728,1.4541764247973,6.68271304020821,16.5234273104926,76.7938596492992,23.2061403507008,6.42927518889753,1.84060007246937,Cropping,0.065,2
21,5582,21,-31.73789799,116.670224,0.544751233692633,0.036844032939814,0.069096468984582,0.359927030805431,1.66748578018925,7.24850986574956,12.7897933499583,79.9616967842922,20.0383032157079,4.92153480542591,1.64685063178859,Cropping,0.045,6
22,5584,22,-31.74867997,116.68997,0.769498529405948,0.060459710566258,0.172453870675357,0.493656569970287,1.71040557066936,5.00536427506666,14.0340374091502,80.9605983157831,19.0394016842169,4.95654167069589,1.58502499748973,Cropping,0.092,2
